job_id,job_title,company,location,experience_level,job_description,date_posted,skills,skill_count
388,Power Bi Developer,Unknown,Remote,Entry,"Northstar Tech is hiring a Power BI Developer (Entry level) based in Remote. Required skills: Machine Learning, NLP. Prior experience with analytics platforms is a plus.",2026-06-19,"Machine Learning, NLP, Power BI",3
3951,Nlp Engineer,Nimbus Data,London,Mid,"We are looking for a NLP Engineer to join our team in London. The ideal candidate has hands-on experience with Tableau, Deep Learning, Power BI dashboards, NLP, Large Language Models. You will work closely with cross-functional teams to deliver insights.",2026-02-16,"Deep Learning, Generative AI, NLP, Power BI, Tableau",5
1292,Power Bi Developer,Quantify Labs,Singapore,Senior,"Quantify Labs is hiring a Power BI Developer (Senior level) based in Singapore. Required skills: python programming, Large Language Models, Tableau dashboards, NLP, MS Excel, PowerBI. Prior experience with analytics platforms is a plus.",2026-05-04,"Excel, Generative AI, NLP, Power BI, Python, Tableau",6
679,Machine Learning Engineer,Alpha Analytics,Pune,Senior,"We are looking for a Machine Learning Engineer to join our team in Pune. The ideal candidate has hands-on experience with Natural Language Processing, ML models, Tableau dashboards, AWS. You will work closely with cross-functional teams to deliver insights.",2026-02-25,"AWS, Machine Learning, NLP, Tableau",4
3370,Nlp Engineer,Alpha Analytics,Remote,Lead,"Alpha Analytics is hiring a NLP Engineer (Lead level) based in Remote. Required skills: Python, MS Excel. Prior experience with analytics platforms is a plus.",2026-04-17,"Excel, NLP, Python",3
4568,Data Analyst,Vertex Insights,Pune,Mid,"Data Analyst role open at Vertex Insights. Key requirements include ML models, Natural Language Processing, Power BI dashboards. This is a Mid level position, Pune based.",2026-05-22,"Machine Learning, NLP, Power BI",3
3733,Data Analyst,Clarity Systems,New York,Mid,"We are looking for a Data Analyst to join our team in New York. The ideal candidate has hands-on experience with Amazon Web Services, python programming, Excel, machine-learning. You will work closely with cross-functional teams to deliver insights.",2026-03-04,"AWS, Excel, Machine Learning, Python",4
3881,Ai Engineer,BrightPath AI,Bengaluru,Mid,"AI Engineer role open at BrightPath AI. Key requirements include MS Excel, machine-learning, Power BI, deep neural networks. This is a Mid level position, Bengaluru based.",2026-03-22,"Deep Learning, Excel, Machine Learning, Power BI",4
922,Data Engineer,Quantify Labs,Delhi Ncr,Mid,"We are looking for a Data Engineer to join our team in Delhi NCR. The ideal candidate has hands-on experience with MS Excel, PowerBI, Python, SQL queries, Machine Learning. You will work closely with cross-functional teams to deliver insights.",2026-06-03,"Excel, Machine Learning, Power BI, Python, SQL",5
79,Bi Developer,DataForge,Singapore,Lead,"Exciting opportunity for a BI Developer at DataForge, Singapore. Must have strong knowledge of Machine Learning, GenAI, PowerBI, Amazon Web Services and a passion for solving business problems.",2026-01-19,"AWS, Generative AI, Machine Learning, Power BI",4
2353,Business Intelligence Analyst,Northstar Tech,London,Lead,"We are looking for a Business Intelligence Analyst to join our team in London. The ideal candidate has hands-on experience with SQL, Deep Learning. You will work closely with cross-functional teams to deliver insights.",2026-07-08,"Deep Learning, SQL",2
1926,Nlp Engineer,Vertex Insights,Pune,Mid,"Join Vertex Insights as a NLP Engineer! We need someone comfortable with SQL queries, Amazon Web Services, proficiency in Python to help us build data-driven products.",2026-02-27,"AWS, NLP, Python, SQL",4
743,Data Analyst,DataForge,Chennai,Lead,"We are looking for a Data Analyst to join our team in Chennai. The ideal candidate has hands-on experience with Natural Language Processing, Excel, Tableau, Power BI, Amazon Web Services. You will work closely with cross-functional teams to deliver insights.",2026-02-22,"AWS, Excel, NLP, Power BI, Tableau",5
2339,Machine Learning Engineer,Clarity Systems,Singapore,Senior,"We are looking for a Machine Learning Engineer to join our team in Singapore. The ideal candidate has hands-on experience with Tableau, NLP, GenAI. You will work closely with cross-functional teams to deliver insights.",2026-06-22,"Generative AI, Machine Learning, NLP, Tableau",4
2433,Bi Developer,Alpha Analytics,Unspecified,Senior,"Join Alpha Analytics as a BI Developer! We need someone comfortable with deep neural networks, Tableau, proficiency in Python to help us build data-driven products.",2026-01-22,"Deep Learning, Python, Tableau",3
4634,Nlp Engineer,Nimbus Data,Chennai,Senior,"Join Nimbus Data as a NLP Engineer! We need someone comfortable with machine-learning, Power BI dashboards, advanced SQL to help us build data-driven products.",2026-06-26,"Machine Learning, NLP, Power BI, SQL",4
2403,Bi Developer,BrightPath AI,Remote,Entry,"We are looking for a BI Developer to join our team in Remote. The ideal candidate has hands-on experience with Tableau, GenAI, Power BI dashboards, proficiency in Python. You will work closely with cross-functional teams to deliver insights.",2026-06-15,"Generative AI, Power BI, Python, Tableau",4
3650,Data Analyst,DataForge,Hyderabad,Mid,"Join DataForge as a Data Analyst! We need someone comfortable with python programming, Natural Language Processing, deep neural networks, Power BI dashboards to help us build data-driven products.",2026-06-03,"Deep Learning, NLP, Power BI, Python",4
1263,Machine Learning Engineer,Unknown,Bengaluru,Lead,"Join Vertex Insights as a Machine Learning Engineer! We need someone comfortable with Machine Learning, MS Excel to help us build data-driven products.",2026-03-19,"Excel, Machine Learning",2
4192,Data Engineer,Alpha Analytics,London,Entry,"Join Alpha Analytics as a Data Engineer! We need someone comfortable with T-SQL, Python, Amazon Web Services, Excel, GenAI, Power BI to help us build data-driven products.",2026-07-18,"AWS, Excel, Generative AI, Power BI, Python, SQL",6
3676,Data Scientist,DataForge,Delhi Ncr,Mid,"We are looking for a Data Scientist to join our team in Delhi NCR. The ideal candidate has hands-on experience with Power BI dashboards, python programming. You will work closely with cross-functional teams to deliver insights.",2026-02-25,"Power BI, Python",2
3510,Data Analyst,Skyline Solutions,Singapore,Lead,"Data Analyst role open at Skyline Solutions. Key requirements include machine-learning, Advanced Excel, Natural Language Processing, PowerBI. This is a Lead level position, Singapore based.",2026-01-17,"Excel, Machine Learning, NLP, Power BI",4
3231,Analytics Consultant,BrightPath AI,London,Lead,"Analytics Consultant role open at BrightPath AI. Key requirements include PowerBI, NLP, ML models, Amazon Web Services. This is a Lead level position, London based.",2026-06-21,"AWS, Machine Learning, NLP, Power BI",4
2594,Power Bi Developer,Skyline Solutions,Bengaluru,Senior,"Skyline Solutions is hiring a Power BI Developer (Senior level) based in Bengaluru. Required skills: Generative AI, Excel, python programming, Machine Learning, SQL, Amazon Web Services. Prior experience with analytics platforms is a plus.",2026-05-03,"AWS, Excel, Generative AI, Machine Learning, Power BI, Python, SQL",7
1079,Data Engineer,DataForge,Hyderabad,Entry,"DataForge is hiring a Data Engineer (Entry level) based in Hyderabad. Required skills: Tableau dashboards, SQL, PowerBI, proficiency in Python. Prior experience with analytics platforms is a plus.",2026-06-18,"Power BI, Python, SQL, Tableau",4
4919,Nlp Engineer,Quantify Labs,Hyderabad,Senior,"NLP Engineer role open at Quantify Labs. Key requirements include T-SQL, Python. This is a Senior level position, Hyderabad based.",2026-06-25,"NLP, Python, SQL",3
1063,Data Scientist,BluePeak Consulting,Singapore,Senior,"Exciting opportunity for a Data Scientist at BluePeak Consulting, Singapore. Must have strong knowledge of GenAI, Natural Language Processing, Advanced Excel and a passion for solving business problems.",2026-04-19,"Excel, Generative AI, NLP",3
4971,Machine Learning Engineer,Northstar Tech,New York,Senior,"Machine Learning Engineer role open at Northstar Tech. Key requirements include NLP, Amazon Web Services, advanced SQL. This is a Senior level position, New York based.",2026-05-09,"AWS, Machine Learning, NLP, SQL",4
4138,Data Science Manager,BrightPath AI,New York,Lead,"Join BrightPath AI as a Data Science Manager! We need someone comfortable with Python, ML models, Power BI dashboards, LLMs, Natural Language Processing to help us build data-driven products.",2026-03-04,"Generative AI, Machine Learning, NLP, Power BI, Python",5
677,Data Engineer,Alpha Analytics,Delhi Ncr,Senior,"Data Engineer role open at Alpha Analytics. Key requirements include SQL, MS Excel, Power BI, proficiency in Python, Tableau, NLP. This is a Senior level position, Delhi NCR based.",2026-07-12,"Excel, NLP, Power BI, Python, SQL, Tableau",6
986,Data Engineer,Nimbus Data,London,Not Specified,"Join Nimbus Data as a Data Engineer! We need someone comfortable with deep neural networks, machine-learning, SQL queries to help us build data-driven products.",2026-01-15,"Deep Learning, Machine Learning, SQL",3
738,Business Intelligence Analyst,Clarity Systems,Chennai,Mid,"Join Clarity Systems as a Business Intelligence Analyst! We need someone comfortable with SQL, Tableau, python programming, Power BI, MS Excel, Natural Language Processing to help us build data-driven products.",2026-04-30,"Excel, NLP, Power BI, Python, SQL, Tableau",6
1722,Ai Research Engineer,BluePeak Consulting,London,Lead,"We are looking for a AI Research Engineer to join our team in London. The ideal candidate has hands-on experience with MS Excel, Power BI, python programming, deep neural networks, machine-learning. You will work closely with cross-functional teams to deliver insights.",2026-04-14,"Deep Learning, Excel, Machine Learning, Power BI, Python",5
2583,Machine Learning Engineer,Unknown,Remote,Senior,"Join Alpha Analytics as a Machine Learning Engineer! We need someone comfortable with machine-learning, proficiency in Python to help us build data-driven products.",2026-05-06,"Machine Learning, Python",2
2351,Machine Learning Engineer,Alpha Analytics,London,Entry,"We are looking for a Machine Learning Engineer to join our team in London. The ideal candidate has hands-on experience with Excel, Power BI, AWS, proficiency in Python, Machine Learning, T-SQL. You will work closely with cross-functional teams to deliver insights.",2026-06-12,"AWS, Excel, Machine Learning, Power BI, Python, SQL",6
3686,Business Intelligence Analyst,BrightPath AI,Hyderabad,Lead,"Business Intelligence Analyst role open at BrightPath AI. Key requirements include machine-learning, Deep Learning, Amazon Web Services. This is a Lead level position, Hyderabad based.",2026-02-25,"AWS, Deep Learning, Machine Learning",3
3666,Data Engineer,Skyline Solutions,Chennai,Mid,"Join Skyline Solutions as a Data Engineer! We need someone comfortable with machine-learning, Python, MS Excel, Power BI to help us build data-driven products.",2026-06-15,"Excel, Machine Learning, Power BI, Python",4
1875,Data Analyst,Alpha Analytics,Bengaluru,Not Specified,"Data Analyst role open at Alpha Analytics. Key requirements include ML models, Tableau dashboards, Python, SQL, Generative AI. This is a Lead level position, Bengaluru based.",2026-06-11,"Generative AI, Machine Learning, Python, SQL, Tableau",5
3458,Data Analyst,Unknown,New York,Entry,"Exciting opportunity for a Data Analyst at Quantify Labs, New York. Must have strong knowledge of Tableau dashboards, Amazon Web Services, PowerBI, python programming, NLP and a passion for solving business problems.",2026-01-22,"AWS, NLP, Power BI, Python, Tableau",5
3952,Bi Developer,Clarity Systems,Hyderabad,Mid,"Join Clarity Systems as a BI Developer! We need someone comfortable with python programming, SQL to help us build data-driven products.",2026-03-21,"Python, SQL",2
3355,Data Analyst,BrightPath AI,London,Lead,"Data Analyst role open at BrightPath AI. Key requirements include Python, Power BI dashboards. This is a Lead level position, London based.",2026-01-12,"Power BI, Python",2
1128,Data Engineer,BluePeak Consulting,Mumbai,Mid,"BluePeak Consulting is hiring a Data Engineer (Mid level) based in Mumbai. Required skills: Python, MS Excel, PowerBI, T-SQL. Prior experience with analytics platforms is a plus.",2026-06-13,"Excel, Power BI, Python, SQL",4
276,Data Analyst,DataForge,Delhi Ncr,Senior,"DataForge is hiring a Data Analyst (Senior level) based in Delhi NCR. Required skills: Advanced Excel, Machine Learning. Prior experience with analytics platforms is a plus.",2026-02-23,"Excel, Machine Learning",2
3724,Ai Research Engineer,Nimbus Data,Hyderabad,Mid,"Join Nimbus Data as a AI Research Engineer! We need someone comfortable with SQL queries, machine-learning to help us build data-driven products.",2026-05-11,"Machine Learning, SQL",2
2729,Ai Engineer,Nimbus Data,Hyderabad,Senior,"Exciting opportunity for a AI Engineer at Nimbus Data, Hyderabad. Must have strong knowledge of Large Language Models, deep neural networks, python programming and a passion for solving business problems.",2026-04-07,"Deep Learning, Generative AI, Python",3
