job_id,job_title,company,location,experience_level,date_posted,skill
388,Power Bi Developer,Unknown,Remote,Entry,2026-06-19,Machine Learning
388,Power Bi Developer,Unknown,Remote,Entry,2026-06-19,NLP
388,Power Bi Developer,Unknown,Remote,Entry,2026-06-19,Power BI
3951,Nlp Engineer,Nimbus Data,London,Mid,2026-02-16,Deep Learning
3951,Nlp Engineer,Nimbus Data,London,Mid,2026-02-16,Generative AI
3951,Nlp Engineer,Nimbus Data,London,Mid,2026-02-16,NLP
3951,Nlp Engineer,Nimbus Data,London,Mid,2026-02-16,Power BI
3951,Nlp Engineer,Nimbus Data,London,Mid,2026-02-16,Tableau
1292,Power Bi Developer,Quantify Labs,Singapore,Senior,2026-05-04,Excel
1292,Power Bi Developer,Quantify Labs,Singapore,Senior,2026-05-04,Generative AI
1292,Power Bi Developer,Quantify Labs,Singapore,Senior,2026-05-04,NLP
1292,Power Bi Developer,Quantify Labs,Singapore,Senior,2026-05-04,Power BI
1292,Power Bi Developer,Quantify Labs,Singapore,Senior,2026-05-04,Python
1292,Power Bi Developer,Quantify Labs,Singapore,Senior,2026-05-04,Tableau
679,Machine Learning Engineer,Alpha Analytics,Pune,Senior,2026-02-25,AWS
679,Machine Learning Engineer,Alpha Analytics,Pune,Senior,2026-02-25,Machine Learning
679,Machine Learning Engineer,Alpha Analytics,Pune,Senior,2026-02-25,NLP
679,Machine Learning Engineer,Alpha Analytics,Pune,Senior,2026-02-25,Tableau
3370,Nlp Engineer,Alpha Analytics,Remote,Lead,2026-04-17,Excel
3370,Nlp Engineer,Alpha Analytics,Remote,Lead,2026-04-17,NLP
3370,Nlp Engineer,Alpha Analytics,Remote,Lead,2026-04-17,Python
4568,Data Analyst,Vertex Insights,Pune,Mid,2026-05-22,Machine Learning
4568,Data Analyst,Vertex Insights,Pune,Mid,2026-05-22,NLP
4568,Data Analyst,Vertex Insights,Pune,Mid,2026-05-22,Power BI
3733,Data Analyst,Clarity Systems,New York,Mid,2026-03-04,AWS
3733,Data Analyst,Clarity Systems,New York,Mid,2026-03-04,Excel
3733,Data Analyst,Clarity Systems,New York,Mid,2026-03-04,Machine Learning
3733,Data Analyst,Clarity Systems,New York,Mid,2026-03-04,Python
3881,Ai Engineer,BrightPath AI,Bengaluru,Mid,2026-03-22,Deep Learning
3881,Ai Engineer,BrightPath AI,Bengaluru,Mid,2026-03-22,Excel
3881,Ai Engineer,BrightPath AI,Bengaluru,Mid,2026-03-22,Machine Learning
3881,Ai Engineer,BrightPath AI,Bengaluru,Mid,2026-03-22,Power BI
922,Data Engineer,Quantify Labs,Delhi Ncr,Mid,2026-06-03,Excel
922,Data Engineer,Quantify Labs,Delhi Ncr,Mid,2026-06-03,Machine Learning
922,Data Engineer,Quantify Labs,Delhi Ncr,Mid,2026-06-03,Power BI
922,Data Engineer,Quantify Labs,Delhi Ncr,Mid,2026-06-03,Python
922,Data Engineer,Quantify Labs,Delhi Ncr,Mid,2026-06-03,SQL
79,Bi Developer,DataForge,Singapore,Lead,2026-01-19,AWS
79,Bi Developer,DataForge,Singapore,Lead,2026-01-19,Generative AI
79,Bi Developer,DataForge,Singapore,Lead,2026-01-19,Machine Learning
79,Bi Developer,DataForge,Singapore,Lead,2026-01-19,Power BI
2353,Business Intelligence Analyst,Northstar Tech,London,Lead,2026-07-08,Deep Learning
2353,Business Intelligence Analyst,Northstar Tech,London,Lead,2026-07-08,SQL
1926,Nlp Engineer,Vertex Insights,Pune,Mid,2026-02-27,AWS
1926,Nlp Engineer,Vertex Insights,Pune,Mid,2026-02-27,NLP
1926,Nlp Engineer,Vertex Insights,Pune,Mid,2026-02-27,Python
1926,Nlp Engineer,Vertex Insights,Pune,Mid,2026-02-27,SQL
743,Data Analyst,DataForge,Chennai,Lead,2026-02-22,AWS
743,Data Analyst,DataForge,Chennai,Lead,2026-02-22,Excel
743,Data Analyst,DataForge,Chennai,Lead,2026-02-22,NLP
743,Data Analyst,DataForge,Chennai,Lead,2026-02-22,Power BI
743,Data Analyst,DataForge,Chennai,Lead,2026-02-22,Tableau
2339,Machine Learning Engineer,Clarity Systems,Singapore,Senior,2026-06-22,Generative AI
2339,Machine Learning Engineer,Clarity Systems,Singapore,Senior,2026-06-22,Machine Learning
2339,Machine Learning Engineer,Clarity Systems,Singapore,Senior,2026-06-22,NLP
2339,Machine Learning Engineer,Clarity Systems,Singapore,Senior,2026-06-22,Tableau
2433,Bi Developer,Alpha Analytics,Unspecified,Senior,2026-01-22,Deep Learning
2433,Bi Developer,Alpha Analytics,Unspecified,Senior,2026-01-22,Python
2433,Bi Developer,Alpha Analytics,Unspecified,Senior,2026-01-22,Tableau
4634,Nlp Engineer,Nimbus Data,Chennai,Senior,2026-06-26,Machine Learning
4634,Nlp Engineer,Nimbus Data,Chennai,Senior,2026-06-26,NLP
4634,Nlp Engineer,Nimbus Data,Chennai,Senior,2026-06-26,Power BI
4634,Nlp Engineer,Nimbus Data,Chennai,Senior,2026-06-26,SQL
2403,Bi Developer,BrightPath AI,Remote,Entry,2026-06-15,Generative AI
2403,Bi Developer,BrightPath AI,Remote,Entry,2026-06-15,Power BI
2403,Bi Developer,BrightPath AI,Remote,Entry,2026-06-15,Python
2403,Bi Developer,BrightPath AI,Remote,Entry,2026-06-15,Tableau
3650,Data Analyst,DataForge,Hyderabad,Mid,2026-06-03,Deep Learning
3650,Data Analyst,DataForge,Hyderabad,Mid,2026-06-03,NLP
3650,Data Analyst,DataForge,Hyderabad,Mid,2026-06-03,Power BI
3650,Data Analyst,DataForge,Hyderabad,Mid,2026-06-03,Python
1263,Machine Learning Engineer,Unknown,Bengaluru,Lead,2026-03-19,Excel
1263,Machine Learning Engineer,Unknown,Bengaluru,Lead,2026-03-19,Machine Learning
4192,Data Engineer,Alpha Analytics,London,Entry,2026-07-18,AWS
4192,Data Engineer,Alpha Analytics,London,Entry,2026-07-18,Excel
4192,Data Engineer,Alpha Analytics,London,Entry,2026-07-18,Generative AI
4192,Data Engineer,Alpha Analytics,London,Entry,2026-07-18,Power BI
4192,Data Engineer,Alpha Analytics,London,Entry,2026-07-18,Python
4192,Data Engineer,Alpha Analytics,London,Entry,2026-07-18,SQL
3676,Data Scientist,DataForge,Delhi Ncr,Mid,2026-02-25,Power BI
3676,Data Scientist,DataForge,Delhi Ncr,Mid,2026-02-25,Python
3510,Data Analyst,Skyline Solutions,Singapore,Lead,2026-01-17,Excel
3510,Data Analyst,Skyline Solutions,Singapore,Lead,2026-01-17,Machine Learning
3510,Data Analyst,Skyline Solutions,Singapore,Lead,2026-01-17,NLP
3510,Data Analyst,Skyline Solutions,Singapore,Lead,2026-01-17,Power BI
3231,Analytics Consultant,BrightPath AI,London,Lead,2026-06-21,AWS
3231,Analytics Consultant,BrightPath AI,London,Lead,2026-06-21,Machine Learning
3231,Analytics Consultant,BrightPath AI,London,Lead,2026-06-21,NLP
